United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,4.3,6.2,4.0,6.5,3.9,6.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.9,12.4,14.4,12.1,14.8,12.0,15.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.2,1.4,1.2,1.6,1.2,1.6,7,20.1,17.9,22.0,17.3,22.9,17.1,23.8
US,2011,1,17.0,15.3,17.5,14.9,18.0,14.8,18.5,2,7.0,6.9,8.2,6.5,8.6,6.3,8.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,44.6,41.0,47.9,39.9,50.2,38.3,52.4,2,22.1,19.3,24.0,18.8,25.1,18.5,25.6,1,2.5,2.1,2.8,1.9,2.9,1.8,3.0,2,3.8,3.2,3.8,3.0,4.1,3.0,4.2,18,97.0,87.8,104.2,85.0,108.9,82.7,112.5
US,2012,1,41.4,39.9,44.7,39.1,46.0,38.5,46.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,22.2,20.5,22.8,20.0,23.4,20.0,23.9,2,91.6,76.0,100.2,72.0,105.6,69.7,108.7,1,2.4,2.0,2.6,2.0,2.7,1.9,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,157.6,138.4,170.3,133.1,177.7,130.1,182.1
US,2013,1,14.2,13.5,15.5,13.1,15.9,12.8,16.3,2,3.4,3.0,4.3,2.8,4.5,2.8,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.3,13.1,15.2,12.9,15.7,12.8,16.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,31.9,29.6,35.0,28.8,36.1,28.4,37.2
US,2014,1,5.3,4.6,6.0,4.3,6.4,4.0,6.7,1,1.4,1.3,1.6,1.0,1.6,1.0,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,15.7,15.0,16.7,14.8,17.4,14.6,17.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.9,2.8,3.2,2.5,3.4,2.4,3.5,10,25.3,23.7,27.5,22.6,28.8,22.0,29.4
US,2015,1,6.0,5.4,7.6,5.1,8.3,4.8,8.7,2,6.0,4.9,6.1,4.7,6.4,4.5,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.8,10.1,11.7,9.8,12.2,9.7,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,3.7,4.2,3.5,4.2,3.5,4.3,1,3.9,3.9,4.1,3.7,4.3,3.6,4.4,11,30.7,28.0,33.7,26.8,35.4,26.1,36.6
US,2016,1,4.5,3.2,5.0,2.9,5.3,2.6,5.5,4,21.0,16.4,24.7,15.5,26.0,14.3,27.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,19.0,16.8,19.8,15.9,20.1,15.8,20.7,1,12.9,9.5,14.1,9.3,14.4,9.0,14.8,1,3.1,2.7,3.3,2.6,3.3,2.6,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,60.5,48.6,66.9,46.2,69.1,44.3,71.5
US,2017,1,3.2,2.5,3.5,2.3,3.7,2.2,3.9,2,4.0,3.0,4.7,2.8,4.9,2.7,5.2,1,1.3,1.0,1.4,1.0,1.5,0.9,1.5,11,24.4,23.1,26.5,22.1,27.2,20.9,28.5,3,336.6,271.7,390.0,244.5,428.7,228.7,444.6,1,23.0,18.9,26.2,18.2,28.2,17.9,28.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,392.5,320.2,452.3,290.9,494.2,273.3,512.5
US,2018,1,3.8,3.4,4.3,3.3,4.4,3.2,4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,16.8,15.0,18.1,14.4,19.5,14.1,20.5,2,60.8,49.6,71.9,43.4,78.1,37.8,83.7,1,29.8,24.6,35.1,23.6,36.0,22.3,37.2,2,4.0,3.5,4.5,3.3,4.7,3.1,5.1,16,115.2,96.1,133.9,88.0,142.7,80.5,151.3
US,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24.6,19.6,28.8,18.7,30.1,17.7,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,16.8,15.5,18.8,14.7,19.8,14.0,20.9,2,8.1,5.1,10.2,4.9,10.9,4.4,11.8,1,5.5,4.0,6.5,3.7,7.3,3.1,7.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,55.0,44.2,64.3,42.0,68.1,39.2,74.6
US,2020,1,5.4,4.7,6.0,4.4,6.4,4.2,6.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,40.3,37.2,44.4,35.7,46.4,34.3,48.0,7,54.0,45.0,59.6,42.3,60.3,40.2,63.6,1,19.7,16.2,23.4,15.6,22.6,15.0,24.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,119.4,103.1,133.4,98.0,135.7,93.7,142.8
US,2021,1,10.0,9.5,10.6,8.9,11.4,8.4,12.0,2,2.9,2.5,3.3,2.4,3.5,2.2,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,23.0,19.6,25.6,19.1,26.8,17.8,27.9,4,88.0,74.6,101.6,70.6,105.6,63.9,113.0,1,12.0,9.8,13.7,9.1,14.5,8.5,15.1,1,27.0,23.8,31.3,23.0,32.2,21.7,33.4,20,162.9,139.8,186.1,133.1,194.0,122.5,205.2
US,2022,1,23.3,20.8,26.5,19.9,27.1,19.1,28.2,1,1.5,1.3,1.8,1.2,1.9,1.1,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.7,20.8,23.7,19.8,24.6,19.1,25.7,3,121.1,99.8,137.0,93.0,145.8,83.9,157.2,1,3.3,2.6,3.8,2.5,3.9,2.4,4.0,1,8.9,8.0,9.5,7.6,10.2,7.1,10.8,18,180.8,153.3,202.3,144.0,213.5,132.7,228.0
US,2023,1,14.6,13.0,17.2,12.4,17.8,11.8,18.6,4,9.3,7.6,10.8,6.7,11.7,6.1,12.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,55.0,48.7,58.1,46.6,60.8,44.9,62.9,2,7.9,6.6,8.9,6.2,10.0,5.7,10.7,1,5.6,4.1,6.2,3.8,6.7,3.5,7.3,1,1.8,1.6,2.1,1.5,2.2,1.4,2.3,28,94.2,81.6,103.3,77.2,109.2,73.4,114.5
US,2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.6,10.3,12.9,9.9,13.5,9.4,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.4,2.1,2.7,1.9,2.9,1.7,3.0,7,14.0,12.4,15.6,11.8,16.4,11.1,17.0
